20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
546;30401338;26.2;Adipoq WT;male;Individual;
552;30296991;21.0;Adipoq WT;female;Individual;
551;30398600;22.8;Adipoq WT;female;Individual;
549;30262145;31.0;Adipoq WT;male;Individual;
550;30400692;20.9;Adipoq WT;female;Individual;
547;30302237;20.7;Adipoq WT;female;Individual;
548;30334547;29.7;Adipoq WT;male;Individual;
5;39;31.16;Adipoq KO;male;Individual;
2;24;29.88;Adipoq KO;male;Individual;
13;43;30.44;Adipoq KO;male;Individual;
0;38;33.51;Adipoq KO;male;Individual;
7;23;32.65;Adipoq KO;male;Individual;
1;42;30.04;Adipoq KO;male;Individual;
3;37;32.77;Adipoq KO;male;Individual;
;;;;;;
Date;Time;Animal No.;Box;VO2(3);VCO2(3);WeightBody
;;;;[ml/h];[ml/h];[g]
03/10/2015;13:27;43;male;103,247154;98,44249;30,44
04/10/2015;14:17;38;male;68,598236;65,10579;33,51
02/10/2015;20:27;43;male;85,98845;81,17129;30,44
04/10/2015;14:15;37;male;81,039246;72,867584;32,77
04/10/2015;03:21;24;male;80,889595;81,90946;29,88
04/10/2015;09:49;42;male;96,96002;97,02696;30,04
03/10/2015;12:15;39;male;132,35516;126,910934;31,16
03/10/2015;16:47;39;male;87,597374;83,4685;31,16
03/10/2015;15:09;43;male;80,52106;75,6386;30,44
03/10/2015;22:59;38;male;68,568855;64,55796;33,51
02/10/2015;21:51;23;male;76,31485;64,7298;32,65
04/10/2015;00:47;43;male;76,8279;70,01405;30,44
04/10/2015;10:53;38;male;122,691086;119,869194;33,51
03/10/2015;06:01;39;male;92,16604;84,73826;31,16
03/10/2015;23:55;23;male;74,81466;73,15164;32,65
04/10/2015;08:07;42;male;88,749435;88,99715;30,04
03/10/2015;10:53;23;male;87,61008;86,358444;32,65
03/10/2015;07:41;38;male;75,982056;71,96174;33,51
03/10/2015;11:07;39;male;131,35728;130,31706;31,16
04/10/2015;12:03;39;male;104,882126;100,2637;31,16
04/10/2015;06:19;37;male;111,85824;109,91009;32,77
04/10/2015;14:07;24;male;67,79951;60,818626;29,88
03/10/2015;05:29;42;male;117,5651;116,26854;30,04
03/10/2015;23:03;42;male;81,262535;76,55801;30,04
04/10/2015;11:27;38;male;87,8359;83,47464;33,51
03/10/2015;21:51;38;male;73,52393;70,93179;33,51
03/10/2015;15:03;38;male;92,04555;80,76233;33,51
03/10/2015;16:13;39;male;100,81603;92,932175;31,16
03/10/2015;06:55;23;male;70,14957;62,742043;32,65
02/10/2015;20:43;23;male;61,467636;52,759003;32,65
03/10/2015;08:15;38;male;76,34943;72,52291;33,51
03/10/2015;02:25;24;male;92,861305;79,93362;29,88
04/10/2015;00:13;43;male;84,8799;78,46625;30,44
04/10/2015;04:27;23;male;110,71851;113,274254;32,65
03/10/2015;05:49;24;male;85,16957;82,94993;29,88
03/10/2015;06:37;42;male;119,134926;121,23388;30,04
03/10/2015;21:17;38;male;92,40656;88,68076;33,51
04/10/2015;13:43;38;male;119,38806;114,56569;33,51
02/10/2015;20:19;37;male;76,88099;63,170456;32,77
03/10/2015;13:53;37;male;103,90398;99,318245;32,77
03/10/2015;02:23;23;male;84,59973;75,29983;32,65
03/10/2015;17:09;24;male;82,99025;77,4642;29,88
04/10/2015;04:05;38;male;123,592674;122,98227;33,51
04/10/2015;16:05;43;male;86,95167;70,66444;30,44
04/10/2015;01:47;37;male;70,19632;64,82634;32,77
