timestep	day	time	daytime	5058	7564	7566	7728
221	day_3	16:34	day	0.5050749370595874	0.5809434246860461	0.34093367269752956	0.39457549147771537
222	day_3	16:49	day	0.6894722807007456	0.4769600754670355	0.3338775263209451	0.4340372987389749
223	day_3	17:04	day	0.5857726514019982	0.5154295490352215	0.319	0.42496277842059854
224	day_3	17:19	day	0.5519388165324813	0.41755288551301467	0.31246938158023624	0.4104238868025832
225	day_3	17:34	day	0.5551465913368832	0.40189164300152896	0.3803774506788393	0.42113645192357624
226	day_3	17:49	day	0.5446682168694154	0.4051152002450216	0.3900202105675604	0.40398041805096035
227	day_3	18:04	day	0.6392094161955475	0.41480769470137246	0.36813774506788394	0.41477325328679
228	day_3	18:19	day	0.5421573357118517	0.3784907599387309	0.3704234161295378	0.4254112980894067
229	day_3	18:34	day	0.6456704053909429	0.49796783338436057	0.4554282040240577	0.4219861678474206
230	day_3	18:49	day	0.6333441688966986	0.46591643001529	0.4615142880414541	0.4729684510574853
231	day_3	19:04	day	0.5561901159671384	0.49804881739662893	0.44485192272201857	0.45724322006374224
232	day_3	19:19	day	0.6251394033093972	0.43012500777946044	0.45866760706659004	0.48162988528692396
233	day_3	19:34	day	0.633721665179066	0.5301631029708762	0.46848374526379616	0.4592918640764907
234	day_3	19:49	day	0.6249804262064	0.5439772626033528	0.4434285065924808	0.4438951741785119
235	day_3	20:04	day	0.6138751709782443	0.5673537369678364	0.4413569375428558	0.460887597802734
236	day_3	20:19	day	0.5969170542173539	0.46552034058192876	0.39529076152459686	0.47788002142695607
237	day_3	20:34	day	0.5372950976301031	0.4282903184073319	0.5221527138882899	0.47496021438221914
238	day_3	20:49	day	0.6202000396465339	0.5385369913629181	0.4194282040240577	0.433394203019173
239	day_3	21:04	day	0.6545949212009737	0.573855597427227	0.4111682878455419	0.4746734783824872
240	day_3	21:19	day	0.6343339716521122	0.5593892461868105	0.42790776653018003	0.44951806622957274
241	day_3	21:34	day	0.624625512934733	0.5439417533843788	0.47539705610955374	0.4689949490828147
242	day_3	21:49	day	0.6051689007823927	0.4640488173966289	0.47421798220127964	0.43039171614036703
243	day_3	22:04	day	0.610406446624981	0.4929112580704066	0.48042341612953776	0.4234883824461625
244	day_3	22:19	day	0.6152920884130028	0.5406997160183479	0.410897888172717	0.4702185871975173
245	day_3	22:34	day	0.6106048448803693	0.5725519708422403	0.4935400429245922	0.46051169471341097
246	day_3	22:49	day	0.5907120150648615	0.5616076314854199	0.4496728488137446	0.4362533218981129
247	day_3	23:04	day	0.7264403211410316	0.5646889938131348	0.43448974343200825	0.5287296601912268
248	day_3	23:19	day	0.6600741163640145	0.6597836643185044	0.39411723193190046	0.4040834558729175
249	day_3	23:34	day	0.6119272514619403	0.5659498896171502	0.41763227639441214	0.3631498166756012
250	day_3	23:49	day	0.6003235008423348	0.4659498896171502	0.4411631973825989	0.3886526529940446
251	day_3	00:04	day	0.565076852015924	0.4012333647779315	0.42393770417099186	0.4515217965477816
252	day_3	00:19	day	0.6275778094940923	0.5014839166921803	0.4491315956154603	0.4904624289809611
253	day_3	00:34	day	0.6324199266518588	0.4472466729555863	0.4971575017828099	0.4288295122551031
254	day_3	00:49	day	0.6327103736737159	0.5464774517610761	0.45754588980859273	0.4132546424970893
255	day_3	01:04	day	0.6059377222717176	0.5172256068606065	0.36699445568442246	0.4304876835668875
256	day_3	01:19	day	0.5804689979184543	0.620204698805508	0.4826114606900056	0.42627228212745105
257	day_3	01:34	day	0.5611774566358334	0.4947019236753431	0.40822292138001115	0.4162034344459615
258	day_3	01:49	day	0.5584378590543131	0.4459580258499217	0.4897652335677761	0.44407265515927197
259	day_3	02:04	day	0.535813166815153	0.4213631661868288	0.40074487171600415	0.4931478743569232
260	day_3	02:19	day	0.5424813836845682	0.4522359507503731	0.40204581416648694	0.3635553649685477
261	day_3	02:34	day	0.549430944592018	0.44085909807044305	0.37595912501224454	0.4248679772739075
262	day_3	02:49	day	0.6361584299726154	0.4486518132924934	0.3990865378700309	0.4314681016178478
263	day_3	03:04	day	0.6458338348695167	0.4851116996018056	0.3763570888270673	0.46384715188546494
264	day_3	03:19	day	0.5771667122608651	0.44740886125568813	0.3648875559626195	0.3570436702551366
265	day_3	03:34	day	0.6023438953315077	0.5336414694027267	0.5269486415179355	0.4369943273631133
266	day_3	03:49	day	0.5607506155216796	0.559642384073501	0.42908159869129947	0.4193897738216891
267	day_3	04:04	day	0.5836478223802425	0.43983339638590774	0.3882244342221264	0.41525332189811287
268	day_3	04:19	day	0.6087605392010751	0.43656102174578615	0.3635608586289987	0.40120219100655846
269	day_3	04:34	day	0.5801165467335059	0.42594988961715025	0.4221164755108428	0.5263380212104333
270	day_3	04:49	day	0.6498067994832397	0.41328476814700205	0.4606933619497281	0.42888188658606047
271	day_3	05:04	day	0.5877842164725393	0.4399336171516073	0.4118213799443606	0.40834112980894066
272	day_3	05:19	day	0.6002400079293068	0.4390911698621537	0.38395388326509	0.4357214235159607
273	day_3	05:34	day	0.5351876538804199	0.67160208122509	0.4736730000979561	0.3504637495799375
274	day_3	05:49	day	0.5132534879561845	0.44292920183761686	0.4280968700801284	0.38232473361798186
275	day_3	06:04	day	0.5773794112387041	0.5572535162021369	0.35341293263522877	0.3723411298089407
276	day_3	06:19	day	0.6284078144509357	0.4574731944869671	0.4880708126285674	0.35934618072612595
277	day_3	06:34	day	0.5860526276140778	0.48877256379784484	0.46302514974629194	0.39889136670072955
278	day_3	06:49	day	0.508864700168467	0.4434458215007645	0.40908159869129945	0.35908213527394106
279	day_3	07:04	day	0.532271146793448	0.41062740459417885	0.353020361851772	0.3761705649044703
280	day_3	07:19	day	0.5171565150162788	0.4052642384073501	0.3535509802715357	0.37341945760509937
281	day_3	07:34	day	0.4705232669236778	0.4006017029096436	0.3372193437591834	0.3680145310318544
282	day_3	07:49	day	0.5520655605105736	0.4012590664624668	0.3252397056109554	0.47488382890473835
283	day_3	08:04	day	0.5499286192878949	0.4283814882694856	0.4814433241286752	0.3220721105991439
284	day_3	08:19	day	0.5521463177716923	0.3890782399999454	0.3863768455419932	0.40754075677711976
285	day_3	08:34	day	0.5098542293586896	0.5282346577641522	0.36387752632094506	0.3778048022293047
286	day_3	08:49	day	0.5017192030923475	0.4763387574885143	0.32573469079011813	0.3667706892484106
287	day_3	09:04	day	0.5581983982553882	0.4021070640122502	0.3183418174382383	0.3484535705859934
288	day_3	09:19	day	0.5137294003369339	0.3778620623583312	0.30968363487647665	0.33544346875162284
