20200508_SD_Ucpdd_K1;TX001;TX002;TX003;;;
;TSE LabMaster V6.3.3 (2017-3514);;;;;
Box;Animal No.; Weight [g];Genotype;Sex;Measurement;
24/03/2015;04:15;30327907;male;102,0;102,0;26,2
04/11/2014;03:15;30314512;female;72,0;72,0;26,3
17/06/2014;21:16;30300777;male;82,0;82,0;27,5
18/06/2014;07:01;30300777;male;83,0;83,0;27,5
24/03/2015;06:15;30327907;male;60,0;60,0;26,2
17/06/2014;11:46;30300775;female;70,0;70,0;24,0
19/05/2015;13:30;30332401;female;70,0;70,0;25,4
18/06/2014;04:01;30300775;female;42,0;42,0;24,0
19/05/2015;12:30;30332410;female;57,0;57,0;26,8
03/11/2014;19:45;30314512;female;95,0;95,0;26,3
24/03/2015;02:00;30327907;male;89,0;89,0;26,2
19/05/2015;22:30;30332401;female;58,0;58,0;25,4
04/11/2014;00:00;30314512;female;73,0;73,0;26,3
17/06/2014;22:16;30300777;male;92,0;92,0;27,5
19/05/2015;23:30;30332406;male;106,0;106,0;32,4
19/05/2015;23:15;30332401;female;53,0;53,0;25,4
18/06/2014;05:01;30300777;male;99,0;99,0;27,5
03/11/2014;22:15;30314498;male;80,0;80,0;30,9
20/05/2015;04:45;30332410;female;77,0;77,0;26,8
23/03/2015;23:30;30327907;male;90,0;90,0;26,2
20/05/2015;03:30;30332480;male;91,0;91,0;28,7
19/05/2015;21:30;30332406;male;104,0;104,0;32,4
19/05/2015;20:15;30332410;female;74,0;74,0;26,8
17/06/2014;23:01;30300777;male;94,0;94,0;27,5
04/11/2014;07:00;30314512;female;92,0;92,0;26,3
24/03/2015;07:15;30327906;male;51,0;51,0;27,0
18/06/2014;06:16;30300781;female;60,0;60,0;23,3
18/06/2014;00:16;30300781;female;82,0;82,0;23,3
18/06/2014;07:01;30300781;female;78,0;78,0;23,3
17/06/2014;17:46;30300774;female;78,0;78,0;21,5
19/05/2015;17:00;30332406;male;81,0;81,0;32,4
